YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2012,12,172519,9900,Craigslist
2002,22,157511,6549,Craigslist
2021,3,41170,21826,Craigslist
2009,15,103321,8299,Craigslist
2016,8,60216,16995,Craigslist
1999,25,25000,4200,Craigslist
2019,5,36592,20790,Autotrader
2022,2,12997,26991,Autotrader
2020,4,30194,23275,Autotrader
2006,18,164648,5950,Autotrader
2018,6,52952,18887,Autotrader
2017,7,86121,16991,Autotrader
2004,20,134000,5999,Cargurus
2010,14,156048,7400,Cargurus
2007,17,147000,6900,Cargurus
2013,11,142996,10622,Cargurus
2011,13,162802,5895,Cargurus
2015,9,145850,10488,Cargurus
2023,1,0,27845,Cargurus