Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/26/2024,Friday,7.24,Sausage Muffin w/ Hashbrown,Food,Debit,Need
1/26/2024,Friday,4.45,Iced Coffee,Food,Debit,Want
1/26/2024,Friday,60.00,Gas,Travel,Debit,Need
1/27/2024,Saturday,10.00,Smoothie,Food,Debit,Want
1/27,Saturday,23.00,Tickets for SF MOMA,Entertainment and Recreation,Debit,Need
1/27/2024,Saturday,40.00,Haircut,Entertainment and Recreation,Debit,Want
1/28,Sunday,14.75,Eggs Onions Garlic,Food,Debit,Need
1/28/2024,Sunday,7.23,Comb x2,Entertainment and Recreation,Debit,Want
1/29/2024,Monday,13.60,Sandwich and Drink,Food,Debit,Need
1/29/2024,Monday,60.00,Gas,Travel,Debit,Need
1/29/2024,Monday,4.00,Electrolyte Drink,Food,Debit,Want
1/30/2024,Tuesday,26.80,Jack n the Box Meal x2,Food,Debit,Need
1/31/2024,Wednesday,5.85,Yogurt,Food,Debit,Want
1/31/2024,Wednesday,4.45,Iced Coffee,Food,Debit,Want
2/2/2024,Friday,4.95,Sausage Muffin,Food,Debit,Need
2/2/2024,Friday,5.25,Iced Coffee,Food,Cash,Want
2/4/2024,Sunday,6.00,Boba,Food,Cash,Want
2/5/2024,Monday,7.24,Sausage Muffin w/ Hashbrown,Food,Debit,Need
2/5/2024,Monday,4.45,Iced Coffee,Food,Debit,Want
2/6/2024,Tuesday,6.50,Iced Coffee,Food,Debit,Want
2/7/2024,Wednesday,4.45,Iced Coffee,Food,Debit,Want